,uid,iid,rating
37,alE24m2G71zSK8VlIS6e1w,gGt00WW8sNY2Sop7jYa7Tw,2.0
38,qd2QrOk3LloxqMh3Z1BlKw,_5UAFrD3EDgJO1aZgRxH7w,5.0
39,taqsda7miMgiHIZQvw4aug,tMlVZWa4SsI01qYMRQerKg,3.0
40,yCaDISH0R8e5U376zDWTpQ,xRlxQg13oVBhGKXyp3v_uA,4.0
41,mNymCv7XVdHAkpOUov-1IQ,8xRBpeEcnLSIRaqYbF-JWg,1.0
42,oUilYNfXensjapTI_s7cOQ,sYXEz38MVmg_vxe7hYTR6Q,4.0
43,dxFFg1uLljJKri8oDIzDzw,EvWGuX0eqKcZvLRgtIFHZg,4.0
44,MEelJ6vFB3R98QijclGK6Q,wArcCMVnrl_tc9MULW-0CQ,4.0
45,zHMzJpsh_ww2lvUcFxsy6Q,sf6xO8BDp2-IzP9oB1_C9A,4.0
46,y6KcS1jJNyCgKQWSvxSlAA,E0TK141YMBP0LBknhVKEqw,5.0
47,WGNa52JNYMD2IUiCRhs5qw,HrR_2-HUE6cqnoz1zMN9AQ,5.0
48,kkeEHmOQz8PhUovWy-4xQA,uMbSCjf6D9-rZOOXQyz9LA,5.0
49,uip_RTJ2FetHGAe29EIHRw,iJpTpE9A8WDWvUlvUcFZuA,4.0
50,62iJA4H2pWRFhafpQqhGaA,ATMiPNPxN-g1ra7nar5prA,3.0
51,_CPYFziP2AeDfS_DM99K7g,xJAXkMIgnWNpqyGCosmp2Q,5.0
52,fKYwzGj64fDmh6hxPw7ZxA,kSIvxL9F9zggPIqPGU-WEA,1.0
53,fkvMee3_ocKKqMoP76YJhg,25YVFgR2pkt3u1f2fDBfnw,5.0
54,0GIAHvDT2cFBIXAyFjVazA,pe20N--YSUZlKYa-WaSfJA,4.0
55,qQIHCUjBk1njhE-L_lthYQ,5q6Xh-UcJa78bp6dzyaE7w,5.0
56,oTQ3X4YniNUOpunELvSKNw,XPma1KatL8CYQ-Ym4TWvsg,4.0
57,97ZyDHiJosH_9P66JEprhQ,c-l4nDPZcEwapEiV-Xf08w,3.0
58,DP8IeAGkBST2etZVhA2seA,RAh9WCQAuocM7hYM5_6tnw,5.0
59,9YuuHXoHsJ4tqefpNWu1Kg,jsc1SZ9dYG_23zzzurD9GQ,5.0
60,MF4k179NPHldIPVILaVYog,WbJ1LRQdOuYYlRLyTkuuxw,4.0
61,I8flth7ZMjES03pgNRK3nA,buacGSEw8yLGJo8g-i02wg,4.0
62,zLHuyC2Gwpm8OwIKHKl6AA,EvWGuX0eqKcZvLRgtIFHZg,5.0
63,9IRuYmy5YmhtNQ6ei1p-uQ,zpGCFAt_MydbQN4EsXee6w,4.0
64,VTkGcUnKD88mvyiVWEtQow,--cZ6Hhc9F7VkKXxHMVZSQ,5.0
65,BF3-I3RyTJywmhH2nYHJXw,XHrdHR8lPP6VKQVnMUdlhw,5.0
66,Ug0ujy9-jd0Oc2nk3KIotA,bcTeQtSdHW5pyLjXz05QEg,5.0
67,BoFluR8klYg01euXk9MO7A,gChmBjLSe3qa8rzEngoDLQ,5.0
68,CTmWaw6mWps0OmQKI0kzNg,yIxP32hWfZm5gyYUUh2WBA,4.0
69,bduV2PTTGWKIIcPX6gjPrw,5HGQHjavoTgcKHFa-x7r8A,4.0
70,5k1P5jLOBdjAKsxmE5uwmA,0rrSv3p1SngSYmyNEvWZVw,2.0
71,iEyyoNNGVvIXwsQhGWlreg,Eg3TRdo2y9ZtiJhykaNqiA,1.0
72,5KQG9WqjlWIdaJKizt78wA,vn_UN1JnA57hpayj6ETpRQ,2.0
73,iXGBwpXyH8KKaG2Nh6JnVg,VsEpjrGJu8RJhreGChT7Uw,5.0
74,IWHEe7nCRIYnK1hvZlhVNw,UFVy-8WC7pDzvBUzOvdwzA,5.0
75,wvVmiwklc1fcjAhy1BEQzw,E25RqiVaA1RnqJOOoeIDzQ,2.0
76,LhOtzcoLGr13ZR96XlbYCg,YaFM08fEdbp-iSon3Opsbw,1.0
77,fZ3x2OUShqfTmSsIVNJcQw,WPkRg0eaJZFbyXm0uNb1ZA,2.0
78,-UuBmWXTSxphf-8OM4hTZw,2bOEUMiwhQ2VzkdcFhEgMw,1.0
79,tsqrqT_Rg_H4kNoGjZna4w,DBxS04vNEd42NquQcAIMXA,5.0
80,wxqxIOP9SoqKY3ZxvKchqg,d8lmIZIqmBC9oPM8y1dc7Q,5.0
81,7yqapFLJVo_SEb5o-CouPQ,BmQk1ziIyRTBa3N8QmztsA,3.0
82,BijvJBvLAmaZDi4HOm6yPQ,jNQnscvgn_dMTS954qW_9Q,4.0
83,gkRCSOdDaomN4I-5njMJFQ,PTY4VZixWNcszvKlMVw9YQ,1.0
84,ZOuJ4rk5uiysEqCIstDDIg,HwV2hQr7fbpiG8wODWJQ1w,5.0
85,qsHnsRRaMVub72brQzFg8g,eAZqT24e0Pk8apWzy3RsAQ,5.0
86,e9Wz1w4MGdLSIpglJ2oKvw,1hfYBwAI7pFz50l5n4JpqQ,5.0
87,qm7ASY00J6hdW8wf8z6HEg,OMEbwr0Aybw_wnqvno-6zQ,3.0
88,pFWNfQgqfJLKwFgRrIWHtw,kRhjWeAPs-U5RmakIKz0Pg,1.0
89,92UYzB-HR4Ei8mOmDzLPhA,o5QDrg_kb4hgsWxV6cV_Uw,4.0
90,7F2KZU9uABkBbciJDo3DHg,L_X5eAd4moE40AsX6Havhg,5.0
91,cuHp8luhexZ8XP97885d8g,ZdqiRrUik1GWAcMWb2iBdw,5.0
92,iN5kL0PrH0lb_69fZ6difQ,dPWHFb_sDduzcJdOZSqR5Q,4.0
93,8zpZLEWweD0Tp6wLTzlZsQ,c6-5RCj8FtV-m1aHz4wnmQ,4.0
94,rpL9ZOAMtDYeP4GCLzFpbQ,yMopev-RPxfEXgqkJOvCGA,5.0
95,N_KIVtBZbds68LYtN6drHg,FSB3Jb4t11KkMyEi_7-s6Q,4.0
96,u8ipkF_PwdoybLOz4v-p3Q,bfVpHvjir2G2Z9wVeddw4w,5.0
97,TDnASMLHkbX8GD-i3wWxAg,Uftnd7njdHNFxhz_6rpUrA,5.0
98,44EPis2_QKOmvjsrhL-nVg,LKuzbx5Yt3yqiokUFdjVhg,5.0
99,M-yTiWKFcFvhc4zOep8Mmg,FSB3Jb4t11KkMyEi_7-s6Q,2.0
100,SCqaYcRbmXKm6vgyMeIYfg,bm_PGQMGMjylitqkNIEzTw,2.0
101,_IeoNQ6gvEJeogsPWa-d8A,KU7eFCdA47v6zeKF3a7j6A,5.0
102,IavINxoXohfzizd8gRA5tg,eAZqT24e0Pk8apWzy3RsAQ,4.0
103,ExvWXsW2I-GpQJGKhE2qdA,sPwgafejYVdf8hd4-oDYVg,3.0
104,uPtcm-krVuWIyY4UIJqDFg,wArcCMVnrl_tc9MULW-0CQ,5.0
105,OqXlL9J2cNjY5e-6t3ZPhw,AY4qBdRtkShnjiPTdlxw_A,5.0
106,N_Ei1qQDfChYFHyVAbtqkg,4vDffQ7eSQ7n39cyroOSKQ,4.0
107,-4LBQwoirPM6VPLj4Ko-Bg,dmx8LX_V-vQbgBhFQPLl9A,1.0
108,hWDybu_KvYLSdEFzGrniTw,Qq0rSY7QhCJiLUEkx0JTrA,4.0
109,xJafm7vGSkUI5ocgYkCWkA,ofpuVYCw6VCkybFVIdwYEQ,4.0
110,mKN1OZzycnB7E1MS0Dby6g,Ava9H-t4scVmP7u_onh7pg,4.0
111,1pigoFijaHVWGrQl1_tYjw,h6f3QbR0n0fpS2Tu9MJJTw,5.0
112,W6ZYDM5oEs9iGgpTA3kV2w,67FzueRMlcTQV3Nuep2qPw,4.0
113,KLhYmeycQU22TnERQSuJMA,MtSEQlqTj3Pup-wBY-dKfA,5.0
114,GOn1lKsj9eiQKTd0lxL3pw,qefemI-aUCSZ_mM78EcMaA,4.0
115,TaibKwCzl77Lu3-n7bofMQ,NI3xvN6p0qhvUkKirbKokA,4.0
116,eVxYV4jI-618bnRCDniowQ,e9sB72njxz87r5TL6kG-Fw,3.0
117,LVwhg149FN8tDAVWTFe-Eg,MSO0kskuBuLeWZmxMem_Aw,4.0
118,ciXjBfJrAEteIKpzZg4I9g,wkZ6P5fDw0G_iFRU-hzBhQ,3.0
119,IJr1_R-MGrh0397orpOmJg,gChmBjLSe3qa8rzEngoDLQ,2.0
120,jCXwMtAAwerny61-GzfarQ,KbLI0QELlAwbfDUVwo43DQ,4.0
121,p-7hCcg35ruh-LYcvL5qDg,M0pkmBUi_CI0qrzN7ee80Q,2.0
122,oYf5m0vyL7AOXBicacw5GQ,1_pgCgtK2kiM7SyXWbznYQ,5.0
123,8XJ7DpZhQrzxNIJDRShf5A,ne7lSA6lAOMYYs43kNTtPQ,2.0
124,TnvayOTx4hObOo0LYIpHhA,3C0bnFhjkgYP9mWORKg6cA,5.0
125,dp1XMUV1Laq6-EBiSXj_1Q,npWIa3dIPEV1MTaZNq6AUA,5.0
126,uGrZg9TypPdVnDgwp82VfA,QczrcKp5TIhq85ncCYjEeg,3.0
127,wKu2xvQJwNDv1SD6DSODrg,3vkP6t_kKN3JT8MMUaBVEA,5.0
128,ZeFGDUY1x1tUQc9KtLVxOg,n-AQFKbW6MnpamdtA6ECpQ,3.0
129,xSHjgI3uUEneFNlYHR1dEg,I8DIq321Tkm-wi9z5gTv9A,2.0
130,jlSKHtoyVY1_XgwMgAvfAg,IpH4Ngf30TLTBljWvOOt7A,1.0
131,RW-RGimSQEE1HJlN50PqBA,z7NIceJU_4vSk-EJ8H6hQA,5.0
132,35Lk8ZW6muLOkHmIr61ngw,HhcBx0LSDkxRBKMkvkwSoA,5.0
133,qVU31qHKgSgGCzKsQ860EA,PVuBYiGaPtpF3VFpvjJ91g,4.0
134,Ji53C7mQHr3mPeTLyHpDPg,QvxBnMcBPP1z_NAIYCqqdA,4.0
135,dp1XMUV1Laq6-EBiSXj_1Q,ZX9eujPNUxqWEWYdr4Ulqg,4.0
136,qRfMtCMCzdJ28wzc6wJCcQ,ExtP8z3SVyut_RICc9i_DA,4.0
137,ATXrlCFmt-Vtw8Twe_Oehg,m3XOBJyAJIWEJJUpngVLLw,5.0
138,9cHXK314MC9Y6nwI6-ehIw,DyOzNIeXUksPNLXYHnB-oQ,4.0
139,ZqHYQMn2zwtZgMZYxygU-w,gJttMZnv0Gy9OlLhNzPbQQ,5.0
140,QPfm1T6N0mAQ9av__WKIcA,0LPVkxZ-Ab9Jx6_ytA-Yew,5.0
141,Ry1O_KXZHGRI8g5zBR3IcQ,WUiDaFQRZ8wKYGLvmjFjAw,3.0
142,W3DOKFJ9L1KKQzYATGSaBg,N0wcPeildIrgTQp0g8rglA,2.0
143,vmz_wm_w8zeJ4-7PDTUnKA,j3SHAiF8OIlY3kUPnAAlKw,2.0
144,KfcySLrPeXNRzRzdMifowg,T2tEMLpTeSMxLKpxwFdS3g,2.0
145,pcKsOK60l1rMopj53r8LMg,33Z7_ZfUWM3MlFEdnamKgA,3.0
146,HS3y3GltOH_pJ37-EJwOng,viuM2vdATRCxI-wqlBHytA,4.0
147,QFtcFkrpsPVhx91b8veWtw,YXa0A7aXV9wWNR0qJVVSDg,4.0
148,a940ta3ya525SSPApjGuZg,7mgNBuU68N5fzdG3JxN1XQ,5.0
149,7OsF9NsIzmcmF4hyklzzYQ,f12Zv1B9crmSW58iyTR_mA,5.0
150,QGKOTCbS-gpAMWPADGmf0w,eCeFBHucdjbZkJlry8EALw,5.0
151,c8cur4lMkQsHoUEqm-qwxg,WxtjFPaPK1WGBHGQhq2bBA,3.0
152,PI0nRf7P3-oVkkV1bs8pTg,HzvCskRg2IdWFfBcEY5Ryw,3.0
153,fVPNN7d80RdU_cNOJFYyoA,xJAXkMIgnWNpqyGCosmp2Q,4.0
154,kl-d14Yr3idzaRNGvreTyA,NI3xvN6p0qhvUkKirbKokA,5.0
155,HzEtbh5KYzfeW_MTVnGCEA,01fuY2NNscttoTxOYbuZXw,5.0
156,5CXbZnKY6wInJEKmnzudEg,1j-DEipQoZHlj2UYSaoGWQ,5.0
157,H2cSIpX1ZT8hS_Tm4J3tNg,WItlLMrwWUbZhi7aSAzs2Q,3.0
158,mjF7UeBFTK2bFny2qZLX5Q,KIyjEZTeoXOa77ph3KmjgQ,3.0
159,EoVQk-tBV4OC6GqJDQvZxg,T2tEMLpTeSMxLKpxwFdS3g,4.0
160,dJcftOunHy3nN7Qn8YxvvQ,b6qKEYhc5cji_i04PjF6ww,3.0
161,vRMlt2TBsH5_efNSJLGD7w,F1odkZWmcXGylij8HjRq6Q,5.0
162,R_jRYOOQyTsVhvUjhCFblg,qmSs5Ed7gN-d1Koc26Gvyw,4.0
163,CfXoF_5bAzdAsoAiDReBNw,UpNnjV6p5GVPX6r_itOGUg,3.0
164,HFFiM63x9asevqVOZG5GBQ,o2O4qWlo4O0aI5oEZsUHBQ,1.0
165,qLzo6RPkyXIHEjqnqa3lpQ,EjBz4Lx_dg-_gwQQJMzKtA,5.0
166,2zdpvBIdBzvZQsHjlcHdSw,NFm869_w6cvVaWaNpAzjeA,4.0
167,JXu_ELboKx5DT6hkyBPlcA,bcTeQtSdHW5pyLjXz05QEg,5.0
168,Bm_PT-r5Eb0uNvg5Uvx-EA,uDb1lOfDhl_VLmAbYvp-vQ,3.0
169,xhlcoVm3FOKcxZ0phkdO6Q,-HIwk8B2mWzGS84vuM8ybA,4.0
170,44aGjKTAg81bi9NtTqqhQw,ATMiPNPxN-g1ra7nar5prA,1.0
171,DlqdkcwoOUL-65TLLPFvcg,bKKVa2WXYnMTtiUPd3sV7Q,4.0
172,bduV2PTTGWKIIcPX6gjPrw,TH_hGGgVIEBtexcpffZXgQ,4.0
173,HrMv8vtW9Cpgi6O5jHcojQ,gvCW53iarF1eG030zSKuRA,2.0
174,hDnzVxST6r0K9A2SVpTkBA,the19uDwR-41n8x861F7Hg,5.0
175,iCYMf_sHRevmzWg8la-LVw,uCgHhVx88-23VCZTdh8hxg,3.0
176,v4qYCluN4apCE3BxKBIa7A,NFm869_w6cvVaWaNpAzjeA,5.0
177,9GVQ1PFrz3KUWGcqda9g3A,vMKQaR8bI2saI7rz8H5MYg,2.0
178,cxKdIlgEOUiweY-joDEWDg,c6-5RCj8FtV-m1aHz4wnmQ,4.0
179,kBaz7l6Vv0pkBrE7qDyGFw,SHFlELFcEcAOJv_fTAKChQ,2.0
180,sDyp3bQDV8kwMLjZnsCEBw,EvWGuX0eqKcZvLRgtIFHZg,3.0
181,aA0dIz-O64klzD3PHdu-bA,NMO1hExBvamoZ9RKEVNcYg,1.0
182,iGxhC62v_7zfcVOdihI-FQ,5fquJHY2hMX9tPRD5s0t5g,4.0
183,mDdX8zm9LUZVOrrtbMO0Mg,XR6xqv39_qxFIrD-CNQ8RQ,5.0
184,LP9j1YqgWPJGw1zY_LRuzg,YAJzBGvqT3dT_qAg6u8E1A,5.0
185,lD_7R6XQhPoWcBpw_GZG1A,HrR_2-HUE6cqnoz1zMN9AQ,4.0
186,61HgWAZmYT71XAOWU1zseg,IpH4Ngf30TLTBljWvOOt7A,2.0
187,5e0G9Mj1h3MvbS3ymvmtpA,wArcCMVnrl_tc9MULW-0CQ,3.0
188,sBdKqQtU3e8XKI8DZCsPrQ,OvCQ-2YUSCT9X2uE52S-Nw,1.0
189,FHiFWbXmqQ1e78GM8178Ew,lIzGFBTWejKz4joxGszd6g,5.0
190,9vqQdOGEw-_11AiFAtMYsA,vOdiLz0dTiyHmkbv61HYGQ,5.0
191,ei41VAjyLo0woZb0hqukGw,2232XZ-3ub4S9cmrHJSDFg,5.0
192,a1A-XaUXmzCOIgLQog8NRA,IqH-J1D0HIP9wyJs2q_uGQ,1.0
193,C9_c1gDCIsfYlKP1CGLRog,VH3WA7a-OVzFj2K_SP4BIw,4.0
194,QPd_UH9fwkQmzkvFmb_ouA,hcjnOtiW7Bdym3-7PaLUzA,4.0
195,Vkn5-vlB89kNL59Y9cBC7w,31acLzszeCCpeXmyAnoTdg,5.0
196,CZxTyU7RJSybqjCCtO970w,vDcAGfBmpNz4xc_6qeKWpQ,5.0
197,i_5M2_oIgtzLCIXmX7OjvQ,QFqtVX-lyZQgVHQrG-dhlg,5.0
198,FRvKvr1-AsUaCBuxaoxnCg,MQEpDvkdL39hh1N0We3Vaw,3.0
199,5l8XAbEWrU9VCp4-ddT2iA,9UU2DPhwmTmkuANzYiZSMQ,3.0
200,LToYbYV6SLiaH_jH3Dz9RA,gIIEgpdUPm1IMs-yKl-91A,5.0
201,g6zhMXgpLDbKAyyoHiNssQ,4cWrtMvfj-tomyEPgP7KFg,5.0
202,s6HlV8dUZiuIoKksdxgIZA,sXQ1EhIRcXWzB9zVxNRmfw,5.0
203,kkdNZ7XhSf8lEdKA3EqGkg,IqH-J1D0HIP9wyJs2q_uGQ,4.0
204,2wuQW3Phqb5KYqJFbS6K-g,CxsN79g8rZoouLwZvr_FVg,4.0
205,kMoAiBvOyqq7CM-HCn_rsw,HfagQNcFAdexV3ZdifSWQw,5.0
206,x37OyP--VEFE5p-xreplYA,GphWJgfK5nrLuBdOljrqKw,3.0
207,UpdXvltvfyTwlJnhOm-B0g,apMG3W6-qpHIuo4ApZy3IA,4.0
208,idNbmJt_EIvJIkg9BpJIbA,kp-FRmyPxjsAoEK1-21rSQ,4.0
209,MiSbIx58tCyf7NIL7Kn2BQ,VH3WA7a-OVzFj2K_SP4BIw,3.0
210,iWTkDDLlxBxv2PqI8eXM7g,d8lmIZIqmBC9oPM8y1dc7Q,4.0
211,a-F4s_UyVUrHcYbXjtQrqw,srpU4CLSxzZcNdAUBfiiRg,5.0
212,Gs2sRbzk3mX-hgkDwlbK-g,_giuQJ5eYQNxE_wtcNDm_A,4.0
213,dca-OFlCl-44AutP94Sosg,8nmjvYX4N67cxOsGfbEgjg,1.0
214,ddKZervvozCcK5j6gnasJA,7_Eh1VvtKPmQvYNB1OTGWw,3.0
215,a3iAiWQo58P1-xd4S4cYmA,T2tEMLpTeSMxLKpxwFdS3g,5.0
216,5qk2OW5PLcmQ2ryBcn0ZXQ,DQIZ35zW26988gl4q_fDHA,5.0
217,9AWSbPOdrFNpzZ--m1wlNQ,OWByE1i1tjPB5i5mSprDJw,5.0
218,3f6MjFnxf8QHKxk7ZmsVYA,uGzxwS3Q6QuyFw2ZnDvw0w,3.0
219,8-c_N_vSkwVieg8sHn_Ppw,MtvN8vMiKcLkkz_tCvBx3g,4.0
220,Ntq_6n5SpkZGmNHXnEmlNQ,kXoCEwQ1Qr9Ft6uObAvCBQ,5.0
221,AeQmiUusPTXdwmTgZ0hFUg,u75PzfSOCGvXi5vqtx9DWQ,1.0
222,cuHp8luhexZ8XP97885d8g,SHFlELFcEcAOJv_fTAKChQ,4.0
223,D0NK_--2_QUMMrHIsEMrTg,M10n-ivjDkkdLaxIYNafFQ,3.0
224,5OseeYdcfuvYGyyjZamXDA,5q6Xh-UcJa78bp6dzyaE7w,5.0
225,AwyM03qzhwgyskBruurWQw,NwWYSYGHFyHQMmsXu0SiYA,2.0
226,76xIKb43veV4d6pnmEGH0w,GrJ74hxJsXXwcqS7zcfFhw,4.0
227,q05ECNRwE-nONC1fICL6uw,ALwAlxItASeEs2vYAeLXHA,5.0
228,g4pieotQ54iLLEA-1cKVlg,krM91L2J4x0Wv3RzEwcEbA,4.0
229,PVyZXgOkVtnU6966FDFhuw,4g_DBOk8h0A5DrdGlcv02A,3.0
230,bIpOfykvm5dWH_JW3Gpvog,jRxLnJ9my31Re_O2MvQGhw,5.0
231,rlclnPy3oFyUXdo8pgqRiw,-KqwcJ10CUzl-hEwgwGhUA,1.0
232,l6wqZwWnXt1l-NInReBufA,uIN-iPt4a5cj9zgflXhyYA,5.0
233,C6p0kvnu2rvqyM1WN-EbrQ,wDfz8ap9xWzj46mtNDcT9A,4.0
234,Ry1O_KXZHGRI8g5zBR3IcQ,-I27yVw2x_-31_OOMSH02w,5.0
235,GyJf71ss616pHZrFZpL42g,I3Saf0s5ybDKprYPPNWqtA,4.0
236,hvs6n04dKZheWJVzhB7TDg,eZDXz_RylvdD0tHEA8I0NA,4.0
237,7gs_0hEHKgPjwJv5N9tPUQ,2232XZ-3ub4S9cmrHJSDFg,4.0
238,HhYUDP1vR7CSRi2cvfai0Q,ICUCAzUZFiWkYs7iCtNCQg,5.0
239,fX8NrOxtnaozSGsS_HMWZQ,NNiKmCGL1USfihxT7uAcjw,4.0
240,aYF3NR0KpOkPfMbWIrFzmg,qUqmTlchliF55jF7s4Xlmw,4.0
241,9hh1M-3aDJZVTwwYYy9AnA,6_I3WEiwzx4ZyPZ3vlEUsg,5.0
242,Ry1O_KXZHGRI8g5zBR3IcQ,BXPEMIFl4iixdvIJW8Fkmg,4.0
243,htzxDWzRt4Xd7UGy4t0yAw,TH_hGGgVIEBtexcpffZXgQ,3.0
244,oaCl7cv19ZXOSK21Hhh9GA,ny8YcGEViSGKWxo69xfiiA,5.0
245,L4F-GkyeeavfMYvPDp9udA,fqMAnoS2sTokz6lqBSmoCw,2.0
246,jdcOF4skk75rjefgKBPIyQ,BW5OcvP9w8fqur_J8yDvow,4.0
247,QgfOK1hwWQnEwPRKevF0hQ,XVDR44P_74FmA0ANanm4CQ,4.0
248,MWuVbyBgP4vD24Rc7UH5xw,VWMSLDPCvfqjw5DDHShQkA,4.0
249,2Hgs2lzwnpTZ4g6_64wSHA,LQI8R7yYXmWzWKd7wLCf2Q,5.0
250,z_xX4PNF_FCzaCoXFG8pyA,Jo6EcTFYMMFbbdmkSPG5ug,3.0
251,mVyZg_iMoZUvV1XZxq2LGA,6_I3WEiwzx4ZyPZ3vlEUsg,5.0
252,VSxZIENjIaM4dH3mk7CM4w,H49dwF7meLTuP0haqIhHCA,4.0
253,XgSCxalSFkXCML6n6AJjCg,vYCBkwsQrdpb-RbkjWqG-w,5.0
254,zCtL2Hvj0jU5jgpX3PK0UA,bKKVa2WXYnMTtiUPd3sV7Q,5.0
255,ayVBf253VsV2Es7tD-rgug,TJwMIZiGB2FA5bJvn444EA,1.0
256,5Z5Pq5tMKzbXjATgXsKFFQ,MU66syW7PEAKbsWCSw8h4A,5.0
257,oHdCkOf9gHSMhvJd4JbVrA,r7QEW42Bqo0KvY2Xb6YDXQ,4.0
258,j2m4gjEvfB0CRZZ7sBkVxw,FSB3Jb4t11KkMyEi_7-s6Q,4.0
259,9eiqEQzRrhPjvMDoGRq20Q,N3m0Z3I_zOTyqpk_Kpvozw,4.0
260,U9VPf-lrRNqkkEZ1ZqM8xw,8hnEVC9ytSfv8y-qQZef5Q,3.0
261,DnFB60cCJXVeCjfXJg0faA,S0mVCkES_gzWHst5EhRsRA,1.0
262,s4cki7AiOrOjb5r-ZpbJUw,BX4HheOcR7sdGLvFrBXy2A,3.0
263,p9fwsy7AoMD86Rx72F0NSQ,-Yv_2yMJcZ-rTDkM1vf6XA,5.0
264,eXFTFlpyKdvlEO1hmJLRlA,wArcCMVnrl_tc9MULW-0CQ,4.0
265,HmMedCwbr0j-Mle67x7aoA,B5R2xV3hGdqLFQNQxMXixg,5.0
266,1acYc7B0q44TKMudItYSRA,Pp79PXtvcHQt7idLv3lt5A,4.0
267,yNsOssYIr3EzAoJAPBerqg,n-AQFKbW6MnpamdtA6ECpQ,4.0
268,5tmoSr8fYMjjXLX93cLThw,pldfvm-zM2VU5m9a-j9cMQ,5.0
269,EvHtJ5aK7AvUfcCyfgrZhQ,8xTuXU5uZ85WF-ZGqDNv_w,5.0
270,esc9UCUkTggvMrbvSm2Udg,yuwmVUmsFVawe4zxnWZfNg,5.0
271,RwIZKjFhYJJOs76BvlsR_Q,nMo0ozHO7cqsPaxw_7N6ow,5.0
272,Izq4PmXGqm85Gkuy6DsW0g,Vu8Z-zbNT_InsKm4IrdeCg,4.0
273,NeZ6x-3gQDhKrJbxLK60EA,Yc5_nA9NqqxOp8WCugF-Ng,1.0
274,ta8ts7kxPsilo976XyxzwQ,gDkqz7xpV4v45vp-tuOqKQ,5.0
